class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-12,15465,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-13,16180,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-14,18399,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-15,13987,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-16,14779,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-17,12993,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-18,14324,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-19,16699,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-20,15025,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-21,18992,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-22,15893,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-23,13498,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-24,13127,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-25,15018,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-26,15892,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-27,15150,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-28,18076,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-29,13781,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-30,13967,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-08-31,13445,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-01,13915,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-02,15267,Number,13-05-21
